city,years,area,rooms,price,url
Klaipėdos m.,1999,61,2,55000,https://www.skelbiu.lt/skelbimai/tvarkingas-2-u-su-holu-varpu-g-9-5-45055743.html
Klaipėdos m.,1976,61,3,60000,https://www.skelbiu.lt/skelbimai/parduodu-buta-45055435.html
Tauragės m.,1989,64,3,39800,https://www.skelbiu.lt/skelbimai/parduodamas-3-kambariu-butas-taurageje-35290073.html
Tauragės m.,1995,"57,30",2,47000,https://www.skelbiu.lt/skelbimai/2-kambariu-vaizganto129-44089893.html
Vilniaus m.,1993,"70,24",3,78800,https://www.skelbiu.lt/skelbimai/pilaiteje-parduodamas-3-ju-kambariu-butas-45053187.html
Palangos m.,1987,45,2,40000,https://www.skelbiu.lt/skelbimai/be-tarpininku-43815293.html
Radviliškio m.,1992,49,2,24000,https://www.skelbiu.lt/skelbimai/parduodu-45052423.html
Alytaus m.,1988,36,1,25400,https://www.skelbiu.lt/skelbimai/1-kambario-butas-vidzgirio-mikrorajone-45052043.html
Plungės m.,1974,47,2,36000,https://www.skelbiu.lt/skelbimai/buto-pardavimas-45051799.html
Gargždų m.,1993,78,3,72000,https://www.skelbiu.lt/skelbimai/parduodamas-3-su-holu-butas-gargzduose-41990595.html
Viekšnių m.,1988,"48,41",2,22500,https://www.skelbiu.lt/skelbimai/2-kambariu-butas-2-aukste-vieksniuose-mazeikiu-r-43270167.html
Šiaulių m.,1983,65,3,72000,https://www.skelbiu.lt/skelbimai/parduodamas-triju-kambariu-butas-centre-45045717.html
Alytaus m.,1982,"50,12",2,42500,https://www.skelbiu.lt/skelbimai/2-3k-butas-alytuje-likiskeliu-g-45044927.html
