city,years,area,price,avg_heat_per_m,url
Varėnos m.,1970,29,25000,,https://www.skelbiu.lt/skelbimai/parduodamas-1-kambario-butas-varenos-m-44110427.html
Telšių m.,1998,58,35500,,https://www.skelbiu.lt/skelbimai/butas-58kv-2k-su-holu-tvarkingas-44110061.html
Kauno m.,1989,"49,36",24500,,https://www.skelbiu.lt/skelbimai/parduodu-1-2-dvieju-kambariu-buto-baranausko-g-44107945.html
Raudondvario k.,1980,54,65000,,https://www.skelbiu.lt/skelbimai/dvieju-kambariu-butas-44098803.html
Telšių m.,1979,"79,40",62500,,https://www.skelbiu.lt/skelbimai/parduodu-keturiu-kambariu-buta-42892347.html
Šilalės m.,1974,"65,50",51515,,https://www.skelbiu.lt/skelbimai/silale-butas-3-aukste-42891015.html
Gargždų m.,1999,66,57000,,https://www.skelbiu.lt/skelbimai/parduodamas-butas-gargzduose-44097735.html
Klaipėdos m.,2008,89,130000,,https://www.skelbiu.lt/skelbimai/parduodamas-3-iju-kambariu-butas-dragunu-g-42875587.html
Kauno m.,1983,60,58585,,https://www.skelbiu.lt/skelbimai/parduodu-jauku-3-kamb-buta-sukileliu-pr-44096641.html
Vilniaus m.,1985,"49,85",67500,,https://www.skelbiu.lt/skelbimai/2-kambariu-taikos-g-44094903.html
